title,type,description,speakers,date,time_start,time_end,length_in_hours,room,event_id,event_url
Map camp: QGIS (intermediate) *pre-registered attendees only,Hands-on,"Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp.

IRE and NICAR trainers conduct this hands-on training using the latest version of QGIS, open source-software that runs on all platforms. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. You’ll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: Participants should have basic knowledge in using relational database programs such as Microsoft Access, MySQL or SQLite.

NOTE: Registration is required for this session. Click here to sign up.","David Herzog, Jennifer LaFleur",2017-03-02,09:00,17:45,8.75,City Terrace 5,2702/2883,https://ire.org/events-and-training/event/2702/2883/
"Programming for humans, in Python (intermediate/advanced) *pre-registered attendees only",Hands-on,"You’ve written a few Python scripts that get the job done, but the initial euphoria has worn off. Your code is hard to understand. Bugs are cropping up. Worse, you can’t always explain your process or results to an editor — or yourself. There must be a better way, but the path forward is not clear. If you’ve had that itchy feeling, this full-day, hands-on workshop is for you. After mastering the basics of writing code, you need to understand how to design programs. To that end, this class will explore Python language features that will help you write readable, reliable and reusable code.

Preregistration is required and seating is limited.

**Attendees must bring a laptop and charger to the training.

Workshop prerequisites: Experience with basic Python language features like variables, data types, conditionals and functions are required.

NOTE: Registration is required for this session. Click here to sign up.","Jeremy Bowers, Serdar Tumgoren",2017-03-02,09:00,17:45,8.75,City Terrace 4,2702/2880,https://ire.org/events-and-training/event/2702/2880/
Basic stats in R (advanced),Hands-on,"Learn how to analyze data through methods grounded in statistical theory. Those familiar with R will be introduced to significance tests, risk ratios, various distributions and more.",Olga Pierce,2017-03-02,10:15,11:15,1.0,City Terrace 10,2702/2932,https://ire.org/events-and-training/event/2702/2932/
Conversations 2 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-02,10:15,11:15,1.0,City Terrace 12,2702/2975,https://ire.org/events-and-training/event/2702/2975/
GitHub for journos,Hands-on,,Hector Alfaro,2017-03-02,10:15,11:15,1.0,City Terrace 9,2702/3061,https://ire.org/events-and-training/event/2702/3061/
Good things come to those who weight: Conduct more reliable surveys using Veracio,Demo,"Most surveys consist of informal, crowd-sourced data. While this data is valuable, it’s often mathematically flawed when demographic and socioeconomic factors are not considered. Our survey tool Veracio automatically weights your responses based on census demographics to produce more accurate data. Join us for our session to learn more about the importance of weighting, how weighting works in Veracio, and how to use the tool to inform your reporting.","Heather Krause, Neal Rothleder",2017-03-02,10:15,11:15,1.0,River Terrace 2,2702/2901,https://ire.org/events-and-training/event/2702/2901/
Investigating hacking and data breaches,Panel,,TBA,2017-03-02,10:15,11:15,1.0,Conference Center A,2702/3033,https://ire.org/events-and-training/event/2702/3033/
Packaging data stories for digital,Panel,,TBA,2017-03-02,10:15,11:15,1.0,River Terrace 1,2702/3046,https://ire.org/events-and-training/event/2702/3046/
Practical data viz in JavaScript,Hands-on,"Learn how to use JavaScript, HTML, and CSS to build practical visualizations for your data. We'll cover how to make some essential chart/visualization types and go over data visualization best practices.",Maureen Linke,2017-03-02,10:15,11:15,1.0,City Terrace 8,2702/3081,https://ire.org/events-and-training/event/2702/3081/
Sports data: How to play money ball,Panel,,"Steve Doig, Paula Lavigne, John Templon",2017-03-02,10:15,11:15,1.0,River Terrace 3,2702/3019,https://ire.org/events-and-training/event/2702/3019/
Useful Excel functions for journalists,Hands-on,,Juan Lyon,2017-03-02,10:15,11:15,1.0,City Terrace 11,2702/2933,https://ire.org/events-and-training/event/2702/2933/
Show where the story is happening with maps in Tableau Public (Hosted by Tableau),Hands-on,"Maps are where it’s at, and with the addition of spatial file support you can viz outside the box too. In this session you will learn different methods for building maps in Tableau Public. We will teach you how to:

*determine what kind of mapping data you’re looking at

*take advantage of spatial file support in Tableau Public

*beautify maps with built-in and Mapbox-supported backgrounds

*integrate maps into your dashboards

*utilize design and layout best practices to make sure that your visualization looks polished and professional

Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available. There may be a few seats available on-site.

Register for this class.",Jenny Richards,2017-03-02,11:00,12:30,1.5,City Terrace 6,2702/3016,https://ire.org/events-and-training/event/2702/3016/
Advanced stats in R: Linear and logistic regression (advanced),Hands-on,Continue learning statistical analysis methods in R with lessons in linear regression and logistic regression analyses.,Olga Pierce,2017-03-02,11:30,12:30,1.0,City Terrace 10,2702/2934,https://ire.org/events-and-training/event/2702/2934/
Agate for data analysis in Python,Hands-on,,"Neil Bedi, Christopher Groskopf",2017-03-02,11:30,12:30,1.0,City Terrace 8,2702/3062,https://ire.org/events-and-training/event/2702/3062/
Better than average: Working with high-dimensional data,Panel,,TBA,2017-03-02,11:30,12:30,1.0,Conference Center A,2702/3034,https://ire.org/events-and-training/event/2702/3034/
Conversations 3 (Sponsored by (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-02,11:30,12:30,1.0,City Terrace 12,2702/2976,https://ire.org/events-and-training/event/2702/2976/
Extracting data from PDFs,Hands-on,,Acton Gorton,2017-03-02,11:30,12:30,1.0,City Terrace 9,2702/2935,https://ire.org/events-and-training/event/2702/2935/
Finding narratives in the numbers,Panel,,TBA,2017-03-02,11:30,12:30,1.0,Conference Center B,2702/3114,https://ire.org/events-and-training/event/2702/3114/
OpenRefine,Hands-on,OpenRefine is the best tool to clean really dirty data — the kind of data in which the same name might be spelled in 30 different ways. It has built-in cleaning tools for analysts and journalists.,"Nils Mulvad, Robert Gebeloff",2017-03-02,11:30,12:30,1.0,City Terrace 11,2702/2971,https://ire.org/events-and-training/event/2702/2971/
Stories waiting to be told with housing data,Panel,,"Tim Henderson, Skylar Olsen",2017-03-02,11:30,12:30,1.0,River Terrace 3,2702/2902,https://ire.org/events-and-training/event/2702/2902/
Structuring your data the right way the first time,Panel,,Sandhya Kambhampati,2017-03-02,11:30,12:30,1.0,River Terrace 2,2702/2904,https://ire.org/events-and-training/event/2702/2904/
The election data you should be paying attention to,Panel,,"Rachel Shorey, Derek Willis",2017-03-02,11:30,12:30,1.0,River Terrace 1,2702/2903,https://ire.org/events-and-training/event/2702/2903/
Lunch on your own (Thursday),Outside Event,,TBA,2017-03-02,12:30,14:15,1.75,See printed schedule for room information,2702/2996,https://ire.org/events-and-training/event/2702/2996/
Conversations 4 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-02,12:45,13:45,1.0,City Terrace 12,2702/2977,https://ire.org/events-and-training/event/2702/2977/
